Name,Company,Location,Address,
1st Choice Windows Waltham Ltd,1st Choice Windows Waltham Ltd,"52.75665976233618, -0.8819426269879468","1st Choice Windows Waltham Limited
16a Albert Street
Melton Mowbray
Leicestershire
LE13 0QH",
Timber Windows Ruislip,Timber Windows Ruislip,"51.576896823673025, -0.4271806875522783","2 & 4 High Street,
Ruislip,
HA4 7AR",
Artisan Conservatories and Windows Ltd. ,Artisan Conservatories and Windows Ltd. ,"53.18697861920169, -3.411028286939048","colomendy house, Vale Rd, Denbigh LL16 3DF",
B&P Window Ltd ,B&P Window Ltd ,"53.71764570260231, -1.498635904101587","Potovens Ln, Lofthouse Gate, Lofthouse, Wakefield WF3 3HY",
Blackthorn Timber,Blackthorn Timber,,,
Bon Accord Glass,Bon Accord Glass,"57.131973461578994, -2.097425888587411","Bon Accord House, Riverside Dr, Aberdeen AB11 7SL",
Brampton Windows,Brampton Windows,"51.457999417123474, 0.13807243996480248","1 Church Rd, Bexleyheath DA7 4DD",
Bury St Edmunds,Countryside (Burgess Group) ,"52.30730197031848, 0.74375789935293","Fornham Business Court, 8, The Drift, Fornham St Martin, Bury Saint Edmunds IP31 1SL",
Woodbridge�,Countryside (Burgess Group) ,"52.11297933356832, 1.3065850649893287","Notcutts Garden Centre, Ipswich Rd, Woodbridge IP12 4AF",
Cambria Sash Window Company ,Cambria Sash Window Company ,"52.0408918559894, -4.31004093117174","Bizerta House, Wind St, Llandysul SA44 4BH",
Cherwell Windows ,Cherwell Windows ,"52.06865533780327, -1.3374257734997104","Unit G3, Marley Way, Banbury OX16 2RL",
Radley,Radley,"51.61958286522631, -1.2488820711646575","Radley House, Hawksworth, Didcot OX11 7PJ",
Cheshire Bespoke Glass,Cheshire Bespoke Glass,"53.34807484604686, -2.1224036022724837","17 London Rd S, Poynton, Stockport SK12 1LA",
Corsham Building Plastics Ltd ,Corsham Building Plastics Ltd ,"51.42357280354229, -2.2226644023662185","Fiveways Trading Estate, Unit A19 Westwells Rd, Hawthorn, Corsham SN13 9RG",
D&M Windows,D&M Windows,"52.891925041499675, -1.1496399176362813","2b Charles St, Ruddington, Nottingham NG11 6EF",
Derwent Sash Windows Ltd ,Derwent Sash Windows Ltd ,"53.05115096232578, -1.4010905042801935","The Old Church Derbyshire, 31 Nottingham Rd, Ripley DE5 3AS",
Edgware Glazing (Transactor) ,Edgware Glazing (Transactor) ,"51.61292865416249, -0.27748292934502267","12, The Quadrant, Edgware HA8 7LU",
Duralife Windows,Duralife Windows,"50.79139401560394, -3.208402677255911","5 Reme Dr, Honiton EX14 1SE",
Elwyns Windows Ltd ,Elwyns Windows Ltd ,"51.36604182932931, -0.158850717710322","114 High St, Carshalton SM5 3AE",
Fox Windows & Doors,Fox Windows & Doors,"52.33988459379114, -1.5246003753339432","Avenue M, Kenilworth CV8 2LG",
Frameless Glass Curtains,Frameless Glass Curtains,"51.505412984906314, -0.09563473196792498","54 Ayres St, London SE1 1EU",
Glass House,Glass House,,,
Harp Windows,Harp Windows,"51.66385647720577, -0.4001078981526048","91-93 St Albans Rd, Watford WD17 1UL",
Hereford Windows,Hereford Windows,,,
Homestyle Plastic LTD ,Homestyle Plastic LTD ,"51.776716488260156, -1.4949570846586313","Unit 2a & 2b, Thorney Leys Business Park, Witney OX28 4GE",
JMI Windows,JMI Windows,"52.58745849176269, -1.8313467311451412","11 Belwell Ln, The Royal Town of Sutton Coldfield, Birmingham, Sutton Coldfield B74 4AA",
John Knight Glass Ltd ,John Knight Glass Ltd ,"53.31721665170037, -3.0736216153413687","John Knight Glass 
Chester Road
Heswall
Wirral
CH60 3RZ",
Radcliffe Glass and Windows ,Radcliffe Glass and Windows ,"53.55695474138538, -2.3247153887681873","Radcliffe Glass & Windows, 3 Lodge Rd, Radcliffe, Manchester M26 1AL",
Kettell Windows,Kettell Windows,"52.71374336093179, -1.0600335599743191","12 The Warren, East Goscote, Leicester LE7 3XA",
L&L Installations Ltd,L&L Installations Ltd,"51.99569930340506, -2.1570173581618817","L&L Installations, Red Ln, Tewkesbury GL20 5BQ",
Mid Wales Windows,Mid Wales Windows,"52.50020099768155, -3.338280402314083","J, Mochdre Industrial Estate, Heol Ashley, Mochdre, Newtown SY16 4LE",
Mitchell Glass,Mitchell Glass,"55.613929714781435, -2.8005370058538706","Currie Rd, Galashiels TD1 2BP",
Morton Windows & Cons Ltd ,Morton Windows & Cons Ltd ,"52.67157331118607, 0.9570176307866409","2 Hurn Rd, Dereham NR19 1WD",
Poole Showroom,Newglaze Windows & Doors ,"50.87504468069856, -2.157067486506026","Unit 2 Poole Trade Park
Innovation Close
Tower Park
Poole
Dorset
BH12 4FG",
Blandford Showroom,Newglaze Windows & Doors ,"50.87504468069856, -2.157067486506026","1 Sunrise Business Pk, Blandford Forum DT11 8ST",
Timber Windows Salisbury,Newglaze Windows & Doors ,"51.06905342953546, -1.7949631","8 Butcher Row, Salisbury SP1 1EP",
S Notaro Windows Limited ,S Notaro Windows Limited ,"51.103941469926816, -2.979570531216871","Huntworth, Bridgwater TA7 0AJ",
Oldridge Windows,Oldridge Windows,"53.99336173964955, -1.49369091573446","Hookstone Park, Harrogate HG2 7DB",
Olivair,Olivair,"52.35329866823262, -0.5338951599919206","Unit 19, New Barn Farm, Brick Kiln Rd, Raunds NN9 6HY",
P&P Glass Ltd ,P&P Glass Ltd ,"51.21282851612077, -0.5848047508134845","15, Quadrum Park, 15, Old Portsmouth Rd, Peasmarsh, Guildford GU3 1LU",
Panoramic Windows & Cons. ,Panoramic Windows & Cons. ,"51.48485152345483, -2.48529607168052","2 Richmond Rd, Bristol BS16 9HB",
Derwent Windows,Derwent Sash Windows Ltd,"53.05097683566555, -1.4008330116465784","The Old Church Derbyshire, 31 Nottingham Rd, Ripley DE5 3AS",
Proline Windows,Proline Windows,"54.2368663790417, -0.7597654598990584","Thornton Road Industrial Estate, 31A Enterprise Way, Pickering YO18 7NA",
R&D Goatley Ltd ,R&D Goatley Ltd ,"50.83172444583956, -0.21968868705317063","1-3 William St, Fishersgate, Brighton and Hove, Brighton BN41 1PZ",
Rococo Glass Limited ,Rococo Glass Limited ,"50.994726661449924, -1.4959267042341389","Romsey Industrial Estate, Unit 48, Greatbridge Rd, Romsey SO51 0HR",
Safe Guard,Safe Guard,"52.61648649593762, -0.29030102929632806","52 Papyrus Rd, Peterborough PE4 5BH",
Windlesham Conservatory & Orangery Showsite,Sherborne Windows Ltd. ,"51.383190699249376, -0.6585507870267824","London Rd, Windlesham GU20 6LL",
Farnborough Window & Door Showroom,Sherborne Windows Ltd. ,"51.27525538326435, -0.7444140600440186","135 Lynchford Rd, North Camp, Aldershot, Farnborough GU14 6HD",
Timber Windows of Hartley Wintney Showroom,Sherborne Windows Ltd. ,"51.305859110066535, -0.9008991735365021","High Street
Hartley Wintney
Hook
RG27 8NY",
Timber Windows of Sunningdale Showroom,Sherborne Windows Ltd. ,"51.39293946912184, -0.6288257404819204","2, Broomhall Buildings, London Rd, Sunningdale, Ascot SL5 0DH",
Bracknell�,Thames Valley,"51.41387618707887, -0.7739452423293156","44 Longshot Ln, Binfield, Bracknell RG12 1RL",
Southfield Windows,Southfield Windows,"50.435924041172846, -3.685350953556644","Babbage Rd, Totnes TQ9 5JD",
